label_id,label_name
0,apple
1,asparagus
2,bacon
3,baked potatoes
4,banana
5,beans
6,black bean
7,blueberries
9,boiled egg
11,bread
12,breaded
13,brocolis
14,cabbage
15,cabidela rice
16,cake
17,carrot
18,cereals
19,cheese
20,chicken
21,chicken steak
22,chips
23,chorizo
24,coffee
26,cucumber
28,cutlet
29,fish
30,fish hake
32,french fries
33,fried cod
34,fried egg
36,gelatin
37,grape
38,greens
39,grilled chop
40,grilled steak
41,ham
43,lasagna
44,lettuce
45,lime
46,mashed potatoes
47,meatballs
48,melon
49,minced meat
50,mushrooms
51,mussel
52,olives
53,omelet
54,onion
55,pasta
56,pineapple
57,pizza
59,pork
60,pork belly
61,pork intestines
62,pork loin
63,rice
64,salmon
65,scrambled eggs
66,scrambled eggs with bacon
67,soup
69,spaghetti
71,steak
72,steaks with mushrooms
73,stewed veal
74,strawberry
75,toasted bread
76,tomato
77,tuna
78,tuna with mushrooms
79,tuna with pasta
80,turkey steak
81,vegetables
84,watermelon
